Тип договора;Январь;Феврфль;Март;Апреоь;Май;Июнь;Июль;Август;Сентябрь
БСК;22;34;27;20;28;30;38;20;42
Ведение беременности;42;26;54;59;33;37;45;50;42
Госпитализация;1590;1546;1605;1470;1281;1411;1404;1315;1407
Детство;141;117;152;137;121;123;135;252;234
ДОГОВОР НА ОКАЗАНИЕ ФОТО-ВИДЕОУСЛУГ;12;21;20;16;25;21;23;13;20
Другое;80;75;77;139;114;130;146;202;193
ЛДЦ;67;111;149;163;128;153;198;138;141
ПРОГРАММЫ ПО СТОМАТОЛОГИИ;0;0;0;0;18;10;16;12;10
Роды;136;142;201;176;182;212;200;196;224
ЭКО;257;253;336;284;242;255;235;249;264
